Account Name,Cancellation Reason,Cancellation Reason Other,Tenure_Months,Last Invoice $
SmithMfgCo2,Duplicate Account,The customer wants to keep the original and delete this one. Original is ssps,47.3,294.0
midwestsidewallsllc4,Other - please specify,We decided we would not use the CRM enough to justify the subscription fee. Thank you for all your help.,0.6,294.0
Mosquito,Not using their Method Account,Just not needed anymore.,5.1,294.0
quantumautomation18,Other - please specify,"After discussing this with our team, we would still like to end our contract with you.  The additional work would still not bring us to where we want to be to have everyone utilize this program.  Please discontinue our service contract as soon as possible.",6.1,294.0
greyfoxoutdoor2,"Failure to adopt, train, and engage CRM users",na,16.2,294.0
swylie,Other - please specify,We are no longer using Quickbooks,19.5,294.0
avstumpflinc,Using an Industry Specific Product,We went with an integrated inventory / crm solution.,28.0,294.0
taosbakesCo1,Not using their Method Account,The program really did not work the way we expected it to and just added another level of complexity to sales operations that we did not need.,1.2,294.0
cannarydistributionCo1,"Tech Issue - QuickBooks, Network, Initial Setup",didnt integrate as planned,2.0,294.0
southhoustonconcretepipeco,Other - please specify,"Southhouston was having persistant issues with Tax being incorrectly applied or ommited (along with discounts and shipping fees) to various high level customers throughout the year. Multiple times we went through support cases, tickets, and customizations to try to mitigate these, but the issues still cropped up. There were about 5 different issues that were all related to data quality and user input, but they were unable to change their process and resulted and just working out of QuickBooks. For example - there was an issue where if you leave shipping address blank the Sync engine does not honour the tax status of the customer, and will charge tax no matter what. At the end of the day - they were used to using the QB ecosystem where their data quality didnt matter and they could override the tax, shipping, and discount rates on the fly without following the rules of the sync engine. As a result - they stopped using method for creating or managing sales transactions after trying multiple times to follow best practicies - too many orders slipped through.",13.5,294.0
southwestheaterandcontrol,Using another CRM Product,"Please cancel our Method subscription. We are moving to Web Presented (https://www.webpresented.com/) that integrates with our new Profit 21 ERP system and will no longer need Method.
I appreciate all of the support we have received from Harsh and the team at Method.
Method is a good CRM and helped us when we were using Quickbooks.",17.9,294.0
usaofflllc,Difficult UI,Interface with quickbooks was quirky and needed help to often.,12.3,294.0
above90lighting,Difficult Workflows / Workflow Challenges,Was not a right fit for our team,1.6,293.0
southwestdistributorsllc,Using QuickBooks Only (no other app),"No fault of yours, we tried and tried to get our customers to use Method, they just continue to place orders via email",7.5,293.0
fiberkraft,Other - please specify,no longer with the company,1.7,292.0
patrickmackincustomfurniture,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
patrickmackincustomfurniture2",0.1,292.0
dwparts,Using another CRM Product,"We really did not use Method for a long time, it was fine but did not sync with QB Desktop very well.  We moved to Salesforce.",39.0,292.0
santafetreeco2,Using QuickBooks Only (no other app),We are not ready to apply a CRM yet.,6.8,290.0
StarSensor,Other - please specify,Failure to pay,10.8,288.0
collinssupply,Sold Business / Closing Company,"Edward sold out his company and the new owners are not sure about Method but if they will be interested, they will sign up from scratch.",46.5,288.0
amesresearch,Duplicate Account,"Duplicate account, real / new one is Amesresearchinc",2.3,285.0
bandldistribution,Not using their Method Account,"We need more time to setup, we cant afford the service while trying to do that.",1.3,284.0
carlstahldecorcableinnovationsinc,"Failure to adopt, train, and engage CRM users","We are reorganizing and there will be changes in personnel.
We are holding off any new software subscription.",1.4,284.0
onestfiresafety2,"Failure to adopt, train, and engage CRM users",We need to get better organized before using a crm. We are not able to utilize the system to get value from it,3.1,284.0
cggschmidt,Other - please specify,"Churn Exception Reason: 
Duplicate Account
Other Account:
cggschmidt2",12.4,284.0
acmosincCo3,Not using their Method Account,Thanks,35.5,282.0
aariusintl,,We're not really using it to its potential at this time.,3.1,280.0
armalinc,Other - please specify,"I just wanted to touch base and let you know that we have decided to cancel our plan with Method for now. This is a great tool but doesn’t incorporate the automations we are looking for with phone, email and sms.",0.1,280.0
FrameDisplays,,"We are being acquired by another large company and have to adopt to their CRM system.

Also, your software is a good solution and covers the basics, however, my initial engagement with your consulting group did not make a good impression on me, since I was asking for fixes to the bugs in the system and a few additions to the software that should have been there to begin with, such as account owner field, etc. Every time I got engaged with consulting group, I was offered to pay for another consulting session. This makes your organization more like one that is looking to get additional revenue quickly without emphasis on customer service and relationship building. Some times it is a good thing to establish good faith and trust without charging your clients for basic things that should be offered at no charge. Especially, when the consultants are charging me for one hour, so they can engage in a conversation and explain why the feature is not working or not included. That is simply a poor business practice. Other than that, all is good.",8.6,280.0
intwinellc,,We are closing.,20.7,280.0
ehtech,Other - please specify,No longer using the account and moving away from QB. Have implemented an in-house ERP system. ,26.0,280.0
chaseoffice1,Other - please specify,"The monthly cost multiplied by the lack of use by my team is the reason why we are canceling this subscription.

---

Our champion Myvette was let go after Dan (owner, credit card holder) pulled the plug on the customization project. Sherisse took over the project but lacking the knowledge Myvette had, their account was at a standstill, using only what was there since the customization was paused.",9.2,280.0
